# data/df_readiness_questions.csv
level,question,why_matter
basic,"Apa yang Anda pahami tentang digital forensics dan bagaimana relevansinya dengan organisasi Anda?","Understanding fundamental concepts is crucial for building a strong foundation in digital forensics readiness."
basic,"Apakah organisasi Anda memiliki kebijakan formal untuk menangani insiden keamanan siber?","Having formal incident response policies is the first step in digital forensics preparedness."
basic,"Bagaimana organisasi Anda saat ini melakukan backup data? Seberapa sering dan di mana data disimpan?","Proper data backup strategies are essential for forensic investigation and business continuity."
basic,"Apakah Anda tahu siapa yang bertanggung jawab untuk menangani insiden keamanan di organisasi Anda?","Clear roles and responsibilities are fundamental for effective incident response."
basic,"Bagaimana organisasi Anda melakukan monitoring terhadap aktivitas jaringan dan sistem?","Network and system monitoring provides early detection and evidence collection capabilities."
basic,"Apa yang akan Anda lakukan jika menemukan indikasi adanya serangan siber di sistem organisasi?","Basic incident response knowledge demonstrates readiness to handle security incidents properly."
intermediate,"Jelaskan proses chain of custody dalam digital forensics dan mengapa hal ini penting?","Chain of custody ensures evidence integrity and legal admissibility in forensic investigations."
intermediate,"Bagaimana cara Anda melakukan imaging forensik yang tepat pada hard drive yang diduga terinfeksi malware?","Proper forensic imaging techniques are critical for preserving evidence without contamination."
intermediate,"Apa saja tools dan software yang organisasi Anda gunakan untuk analisis forensik digital?","Having appropriate forensic tools and knowledge of their usage is essential for effective investigations."
intermediate,"Bagaimana organisasi Anda menangani log management dan retention policy?","Comprehensive log management enables forensic reconstruction of events and timeline analysis."
intermediate,"Jelaskan perbedaan antara live forensics dan post-mortem forensics, kapan menggunakan masing-masing?","Understanding different forensic approaches helps in choosing the right methodology for specific incidents."
intermediate,"Bagaimana cara mengidentifikasi dan menganalisis indicators of compromise (IoCs) dalam sistem?","IoC identification and analysis are crucial for threat hunting and incident investigation."
advanced,"Bagaimana Anda melakukan memory forensics dan apa informasi yang bisa diperoleh dari RAM dump?","Memory forensics provides critical volatile evidence that may not be available through disk analysis."
advanced,"Jelaskan teknik anti-forensics yang mungkin digunakan penyerang dan bagaimana mengatasinya?","Understanding anti-forensics techniques helps investigators overcome evidence hiding attempts."
advanced,"Bagaimana cara melakukan network forensics untuk menganalisis traffic yang mencurigakan?","Network forensics capabilities are essential for investigating sophisticated attacks and data exfiltration."
advanced,"Jelaskan proses forensic analysis pada cloud environment dan tantangan yang dihadapi?","Cloud forensics requires specialized knowledge due to virtualization and distributed nature of cloud systems."
advanced,"Bagaimana organisasi Anda melakukan threat hunting proaktif dan forensic readiness assessment?","Proactive threat hunting and readiness assessment demonstrate advanced security maturity."
advanced,"Jelaskan integrasi antara SIEM, SOAR, dan forensic tools dalam incident response workflow?","Advanced tool integration enables automated and efficient incident response and forensic analysis."
