Package;Komponen;Level;Indikator;Pertanyaan
0;Strategy;Recognize;Program kesiapan forensik digital;Apakah ada pemahaman bahwa kesiapan forensik digital dapat meminimalkan dampak insiden siber?
0;Strategy;Define;Program kesiapan forensik digital;Apakah organisasi telah memiliki Program terkait Kesiapan Forensik Digital?
0;Strategy;Measure;Program kesiapan forensik digital;Apakah organisasi memiliki metrik atau indikator kinerja untuk mengukur kemajuan dan efektivitas program kesiapan forensik digital?
0;Strategy;Analyze;Program kesiapan forensik digital;Apakah ada analisis terhadap kesenjangan antara tingkat kesiapan yang diinginkan dengan tingkat kesiapan yang dicapai saat ini?
0;Strategy;Improve & Control;Program kesiapan forensik digital;Apakah ada program untuk memperbarui program kesiapan forensik digital berdasarkan hasil analisis dan umpan balik?
0;Strategy;Sustain;Program kesiapan forensik digital;Apakah program ini menjadi bagian dari perencanaan strategis organisasi dalam jangka panjang?
0;Strategy;Recognize;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah ada pemahaman dasar mengenai pentingnya retensi data yang tepat untuk tujuan hukum dan investigasi?
0;Strategy;Define;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah organisasi Anda memiliki pedoman tertulis terkait penyimpanan dokumen, file, dan rekaman digital maupun fisik (misal CCTV, Log, dokumen)?
0;Strategy;Measure;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah organisasi secara rutin melakukan audit untuk memverifikasi bahwa kebijakan penyimpanan data diterapkan secara konsisten di seluruh departemen?
0;Strategy;Analyze;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah ada analisis terhadap risiko yang mungkin timbul dari kebijakan retensi yang tidak memadai (misalnya, risiko hukum atau kehilangan bukti)?
0;Strategy;Improve & Control;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah ada kontrol yang diterapkan untuk memastikan bahwa data disimpan dengan aman dan dapat diakses saat dibutuhkan?
0;Strategy;Sustain;Aturan, regulasi dan kewajiban menyimpan dokumen, file dan rekaman (CCTV, Log, dokumen);Apakah kebijakan penyimpanan data diintegrasikan ke dalam program tata kelola informasi organisasi secara berkelanjutan?
0;Strategy;Recognize;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah ada pemahaman bahwa tindakan awal yang salah dapat merusak atau menghilangkan bukti penting?
0;Strategy;Define;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah organisasi Anda memiliki ketentuan tertulis ketika terjadi peristiwa yang membutuhkan barang bukti digital 
0;Strategy;Measure;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah organisasi mencatat setiap peristiwa yang terjadi dan memverifikasi apakah ketentuan yang ditetapkan sudah diikuti?
0;Strategy;Analyze;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah organisasi menganalisis hasil dari penanganan peristiwa untuk mengidentifikasi kelemahan dalam ketentuan yang ada?
0;Strategy;Improve & Control;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah ada program untuk memperbarui ketentuan ini berdasarkan umpan balik dari tim respons insiden dan perkembangan teknologi?
0;Strategy;Sustain;Ketentuan ketika terjadi peristiwa yang membutuhkan barang bukti digital ;Apakah organisasi secara konsisten mengalokasikan sumber daya untuk memelihara dan menyebarkan pengetahuan tentang ketentuan ini?
0;Strategy;Recognize;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Apakah organisasi menyadari adanya kewajiban untuk memiliki Pejabat Pelindung Data Pribadi (DPO) sesuai dengan peraturan yang berlaku, seperti UU PDP?
0;Strategy;Define;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Apakah organisasi telah menunjuk fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku?
0;Strategy;Measure;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Seberapa sering DPO melakukan audit internal untuk mengukur tingkat kepatuhan organisasi terhadap UU PDP?
0;Strategy;Analyze;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Apakah organisasi menganalisis laporan dari DPO untuk mengidentifikasi area yang membutuhkan perbaikan terkait perlindungan data pribadi?
0;Strategy;Improve & Control;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Apakah ada mekanisme kontrol yang memastikan independensi DPO dalam menjalankan tugasnya?
0;Strategy;Sustain;Fungsi/unit Pejabat Pelindung Data Pribadi sesuai dengan peraturan dan perundang-undangan yang berlaku;Apakah peran dan wewenang DPO ditinjau secara berkala untuk memastikan relevansinya dengan pertumbuhan organisasi dan perubahan regulasi?
0;Strategy;Recognize;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah ada pemahaman dasar mengenai pentingnya memetakan sumber bukti digital potensial di seluruh lingkungan organisasi?
0;Strategy;Define;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah organisasi telah mengidentifikasi berbagai sumber dan tipe-tipe yang berbeda dari barang bukti digital?
0;Strategy;Measure;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah organisasi secara rutin melakukan audit untuk memverifikasi kelengkapan dan keakuratan daftar sumber dan tipe bukti digital?
0;Strategy;Analyze;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah organisasi menganalisis data insiden untuk menentukan apakah semua sumber dan tipe bukti yang relevan telah diidentifikasi dan dikumpulkan?
0;Strategy;Improve & Control;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah ada kontrol yang diterapkan untuk memastikan bahwa data dari semua sumber bukti yang teridentifikasi terlindungi dan dapat diakses untuk investigasi?
0;Strategy;Sustain;Identifikasi sumber-sumber dan tipe-tipe yang berbeda dari barang bukti digital organisasi ;Apakah proses identifikasi sumber dan tipe bukti digital menjadi bagian dari siklus hidup pengembangan sistem dan perencanaan strategis organisasi?
0;Strategy;Recognize;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah organisasi menyadari bahwa kesiapan forensik digital membutuhkan kombinasi yang tepat antara teknologi dan Sumber Daya Manusia (SDM) yang terampil?
0;Strategy;Define;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah organisasi telah mengidentifikasi teknologi dan sumber daya manusia yang diperlukan untuk memastikan kesiapan forensik digital?
0;Strategy;Measure;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah organisasi secara rutin mengevaluasi kecukupan dan kapabilitas teknologi forensik digital dan SDM yang dimiliki?
0;Strategy;Analyze;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah organisasi menganalisis kesenjangan antara teknologi dan keahlian SDM yang dimiliki dengan kebutuhan forensik digital saat ini?
0;Strategy;Improve & Control;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah ada kontrol yang memastikan bahwa teknologi dan keahlian SDM terus ditingkatkan seiring dengan perkembangan ancaman?
0;Strategy;Sustain;Identifikasi teknologi dan Sumber Daya manusia untuk memastikan kesiapan forensik digital;Apakah alokasi anggaran untuk pengadaan teknologi dan pengembangan SDM forensik digital menjadi prioritas dalam perencanaan jangka panjang organisasi?
0;Strategy;Recognize;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah organisasi menyadari bahwa program keamanan informasi dan kesiapan forensik digital membutuhkan dukungan anggaran yang konsisten?
0;Strategy;Define;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah anggaran tersedia untuk mengimplementasikan dan memelihara program keamanan informasi dan kesiapan forensik digital
0;Strategy;Measure;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah organisasi secara rutin memantau dan melacak penggunaan anggaran yang dialokasikan untuk program ini?
0;Strategy;Analyze;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah organisasi menganalisis alokasi anggaran saat ini untuk mengidentifikasi potensi kekurangan atau pemborosan?
0;Strategy;Improve & Control;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah ada program untuk mengoptimalkan penggunaan anggaran melalui efisiensi operasional atau negosiasi vendor?
0;Strategy;Sustain;Jaminan ketersediaan anggaran untuk menjalankan dan merawat program keamanan informasi dan kesiapan forensik digital;Apakah alokasi anggaran untuk program keamanan informasi dan forensik digital menjadi prioritas strategis dalam jangka panjang?
0;Strategy;Recognize;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah organisasi menyadari pentingnya memiliki kebijakan dan prosedur untuk mengatur penggunaan TIK oleh para anggota?
0;Strategy;Define;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah terdapat kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK)?
0;Strategy;Measure;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK) telah dimonitor secara berkala?
0;Strategy;Analyze;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah ada analisis terhadap kesenjangan atau kelemahan dalam kebijakan yang ada, berdasarkan hasil pemantauan?
0;Strategy;Improve & Control;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah ada rencana untuk memperbarui kebijakan dan prosedur TIK agar tetap relevan dengan perkembangan teknologi?
0;Strategy;Sustain;Kebijakan dan prosedur sebagai pedoman untuk aktivitas dan operasi anggota organisasi yang menggunakan Teknologi Informasi dan Komunikasi (TIK);Apakah kebijakan dan prosedur TIK ditinjau dan diperbarui secara rutin untuk memastikan relevansinya?
0;Strategy;Recognize;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah ada pemahaman awal mengenai tanggung jawab organisasi dalam melindungi data pribadi?
0;Strategy;Define;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah organisasi sudah memiliki kebijakan terkait perlindungan data pribadi sesuai dengan peraturan perundang-undangan yang berlaku (UU PDP)?
0;Strategy;Measure;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah organisasi secara rutin melakukan audit untuk mengukur kepatuhan terhadap kebijakan perlindungan data pribadi yang telah dibuat?
0;Strategy;Analyze;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah organisasi menganalisis hasil audit dan laporan insiden untuk mengidentifikasi kelemahan dalam kebijakan atau prosedur yang ada?
0;Strategy;Improve & Control;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah ada program untuk memperbarui kebijakan perlindungan data pribadi agar tetap relevan dengan perubahan regulasi dan teknologi?
0;Strategy;Sustain;Kebijakan terkait perlindungan data pribadi yang disusun sesuai dengan peraturan perundang-undangan yang berlaku (UU No.27 Tahun 2022 tentang Pelindungan Data Pribadi).;Apakah kebijakan perlindungan data pribadi menjadi bagian integral dari budaya kerja organisasi?
0;Strategy;Recognize;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah organisasi menyadari pentingnya menetapkan sanksi yang jelas untuk pelanggaran kebijakan perlindungan data dan kesiapan forensik digital?
0;Strategy;Define;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah sanksi untuk  pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital telah ditetapkan?
0;Strategy;Measure;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah ada pengukuran yang dilakukan untuk menilai seberapa sering pelanggaran terjadi setelah sanksi ditetapkan?
0;Strategy;Analyze;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah ada analisis untuk mengevaluasi efektivitas sanksi yang diterapkan dalam mencegah pelanggaran di masa depan?
0;Strategy;Improve & Control;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah ada program untuk meninjau dan memperbarui kebijakan sanksi agar lebih efektif dan adil?
0;Strategy;Sustain;Sanksi bagi pelanggar kebijakan dan prosedur perlindungan data dan kesiapan forensik digital;Apakah sistem sanksi ini menjadi bagian dari sistem manajemen kinerja dan kedisiplinan yang berkelanjutan?
0;Strategy;Recognize;Kebijakan bahwa semua sumber daya informasi dan data merupakan milik organisasi ;Apakah ada pemahaman dasar organisasi bahwa data yang dihasilkan atau disimpan di sistem organisasi adalah aset berharga yang harus dilindungi?
